TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
{},,,,,,,,
Slave Address 0x54,,,,,,,,
d748b831,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x01,3,ten
14c9168a,No desciption,dft_hex0x0F,DFTtm8t,0x54,0x0F,0x01,0,ten
c69fe1aa,No desciption,dft_hex0x0F,DFTtm8t,0x54,0x0F,0x01,1,ten
6fd414fa,No desciption,dft_hex0x0F,DFTtm8t,0x54,0x0F,0x01,2,ten
dft_hex0x0F_ten,No desciption,dft_hex0x0F,DFTtm8t,0x54,0x0F,0x01,7,ten
hijack_c541f94b,No desciption,dft_hex0x1E,DFTtm8t,0x54,0x1E,0x01,0,ten
hijacki_c541f94b,No desciption,dft_hex0x1E,DFTtm8t,0x54,0x1E,0x01,1,ten
hijack_6613b2af,No desciption,dft_hex0x1E,DFTtm8t,0x54,0x1E,0x01,2,ten
hijacki_6613b2af,No desciption,dft_hex0x1E,DFTtm8t,0x54,0x1E,0x01,3,ten
dft_hex0x1E_ten,No desciption,dft_hex0x1E,DFTtm8t,0x54,0x1E,0x01,7,ten
"XWALTZ,XceleraCORE,XPOWERGOOD,XMAIN",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
padopendrain_54c5b105,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x02,0,tdi
a0,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x02,7,tdi
resistordivider_37d49b79,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x01,0,ten
comparator_ddbf938d,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x01,1,ten
comparator_70e67769,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x01,2,ten
padopendrain_54c5b105,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x01,3,ten
vbuffer_e96a4067,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x01,4,ten
dft_hex0x10_ten,No desciption,dft_hex0x10,DFTtm8d,0x54,0x10,0x01,7,ten
"XWALTZ,XceleraCORE,XREGULATION,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
d922ca5f,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x02,0,TAI
913fa695,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x02,1,TAI
162b659f,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x02,2,TAI
